source_table,source_sheet,source_column,series_name,region,subregion,product,metric,unit,period_type
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPC0_IM0_NUS-NEC_MBBLD,weekly U.S. Imports from Ecuador of Crude Oil,U.S.,,Imports from Ecuador of Crude Oil,Imports from Ecuador of Crude Oil,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPC0_IM0_NUS-NIZ_MBBLD,weekly U.S. Imports from Iraq of Crude Oil,U.S.,,Imports from Iraq of Crude Oil,Imports from Iraq of Crude Oil,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPC0_IM0_NUS-NLY_MBBLD,weekly U.S. Imports from Libya of Crude Oil,U.S.,,Imports from Libya of Crude Oil,Imports from Libya of Crude Oil,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPC0_IM0_NUS-NMX_MBBLD,weekly U.S. Imports from Mexico of Crude Oil,U.S.,,Imports from Mexico of Crude Oil,Imports from Mexico of Crude Oil,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPC0_IM0_NUS-NNI_MBBLD,weekly U.S. Imports from Nigeria of Crude Oil,U.S.,,Imports from Nigeria of Crude Oil,Imports from Nigeria of Crude Oil,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPC0_IM0_NUS-NSA_MBBLD,weekly U.S. Imports from Saudi Arabia of Crude Oil,U.S.,,Imports from Saudi Arabia of Crude Oil,Imports from Saudi Arabia of Crude Oil,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPC0_IM0_NUS-NVE_MBBLD,weekly U.S. Imports from Venezuela of Crude Oil,U.S.,,Imports from Venezuela of Crude Oil,Imports from Venezuela of Crude Oil,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPC0_IMU_NUS-Z00_MBBLD,weekly U.S. Crude Oil Imports by Others for SPR by Others from All Countries,U.S.,,Crude Oil Imports by Others for SPR by Others from All Countries,Crude Oil Imports by Others for SPR by Others from All Countries,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPC0_SAX_YCUOK_MBBL,"Weekly Cushing, OK Crude Oil Ending Stocks Excluding SPR",,,"Weekly Cushing, OK Crude Oil Ending Stocks Excluding SPR","Weekly Cushing, OK Crude Oil Ending Stocks Excluding SPR",Thousand Barrels,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPC0_SCG_NUS_MBBLD,weekly U.S. Stock Change of Crude Oil,U.S.,,Stock Change of Crude Oil,Stock Change of Crude Oil,Thousand Barrels per Day,weekly
