Date;Latin America;North West Europe Zone;MED Zone (MED Sea+Black Sea);Other North Africa;Unknown;Western Africa;East Coast Canada;Southern Africa;Oceania;South-Central Asia;South-East Asia;Eastern Asia;Eastern Africa;Other Southern Europe;Other Middle East;West Coast Canada;Mideast Gulf;Period End Date
2020-03-20;716.41;0;0;0;18.69;0;0;0;0;0;0;0.43;0;0;0;0;0;2020-03-20
2020-03-27;926.47;6.50;0;0;0.92;0;0;0;0;0;0;0;0;0;0;0;0;2020-03-27
2020-04-03;946.59;20.87;0;0;6.62;0;0;0;0;0;0;0;0;0;0;0;0;2020-04-03
2020-04-10;605.88;0;0;0;54.50;0;0;0;0;0;0;0;0;0;0;0;0;2020-04-10
2020-04-17;519.63;131.41;0;0;61.50;0;0;0;0;0;0;0;0;0;0;0;0;2020-04-17
2020-04-24;261.69;2.05;43.63;0;0;90.04;0;0;0;0;0;0;0;0;0;0;0;2020-04-24
2020-05-01;400.03;44.61;84.47;0;16.66;0;0.11;0;0;0;0;0;0;0;0;0;0;2020-05-01
2020-05-08;310.04;105.66;23.95;0;0;44.77;0;0;0;0;0;0;0;0;0;0;0;2020-05-08
2020-05-15;440.36;0;0;0;0;0;3.73;0;0;0;0;0;0;0;0;0;0;2020-05-15
2020-05-22;612.60;44.08;0;0;0;0;3.16;0;0;0;0;0;0;0;0;0;0;2020-05-22
2020-05-29;308.95;0;213.56;0;0;0;0;0;0;0;0;10.30;0;0;0;0;0;2020-05-29
2020-06-05;505.11;0;229.09;0;4.21;46.03;0;0;0;0;0;0;0;0;0;0;0;2020-06-05
2020-06-12;457.88;35.08;89.29;0;0;83.84;0;0;0;0;14.44;0;0;0;0;0;0;2020-06-12
2020-06-19;596.96;43.09;0;45.88;2.14;0;9.65;0;0;0;0;0;0;0;0;0;0;2020-06-19
2020-06-26;819.18;0;44.07;0;0;0;0;0;0;0;0;45.55;0;0;0;0;0;2020-06-26
2020-07-03;843.67;85.58;52.22;26.02;48.31;0;3.08;0;0;0;0;0;0;0;0;0;0;2020-07-03
2020-07-10;678.79;45.40;43.02;0;13.47;40.50;4.68;0;0;0;4.57;0;0;0;0;0;0;2020-07-10
2020-07-17;673.80;49.34;0;0;10.46;44.42;0;0;0;0;0;0;0;0;0;0;0;2020-07-17
2020-07-24;820.85;50.57;90.20;46.90;47.88;43.47;0;0;0;0;23.06;0;0;0;0;0;0;2020-07-24
2020-07-31;543.18;356.55;89.54;43.50;0;44.06;0;0;0;0;23.06;0;0;0;0;0;0;2020-07-31
2020-08-07;838.16;90.27;43.73;43.61;0;0;3.73;0;0;0;0;0;0;0;0;0;0;2020-08-07
2020-08-14;718.32;138.38;43.73;46.90;54.05;0;0;0;0;0;0;0;0;0;0;0;0;2020-08-14
2020-08-21;767.95;335.82;0;0;44.88;0;0;0;0;0;4.26;0;0;0;0;0;0;2020-08-21
2020-08-28;516.55;228.69;0;68.56;21.60;0;3.36;0;0;0;0;0;0;0;0;0;0;2020-08-28
2020-09-04;545.08;115.21;0;0;95.81;44.81;4.48;0;0;0;0;0;0;0;0;0;0;2020-09-04
2020-09-11;593.42;96.41;0;0;11.24;0;0;0;0;0;0;0;0;0;0;0;0;2020-09-11
2020-09-18;466.69;153.50;113.24;34.66;0;0;0;0;0;0;12.77;0;0;0;0;0;0;2020-09-18
2020-09-25;578.13;43.56;45.02;0;0;0;0;0;0;9.94;0;0;0;0;0;0;0;2020-09-25
2020-10-02;863.41;42.78;62.85;0;30.28;0;0;0;0;0;0;0;0;0;0;0;0;2020-10-02
2020-10-09;765.37;58.07;44.77;0;34.94;42.21;31.43;0;0;0;4.95;0;0;0;0;0;0;2020-10-09
2020-10-16;512.81;13.59;64.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-10-16
2020-10-23;640.28;43.77;0;0;20.53;0;17.20;0;0;0;0;0;0;0;0;0;0;2020-10-23
2020-10-30;684.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-10-30
2020-11-06;715.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-11-06
