period;originCountries;quantity
2024-12-20;Canada;21.43
2025-01-03;Canada;20.00
2025-01-03;Germany;1.69
2025-01-17;Canada;12.86
2025-01-17;India;80.65
2025-01-17;Trinidad and Tobago;5.68
2025-01-24;Canada;12.86
2025-01-24;France;45.01
2025-01-31;Canada;12.86
2025-01-31;Kuwait;43.01
2025-02-07;Canada;12.86
2025-02-07;India;26.43
2025-02-14;Bahamas;21.43
2025-02-14;India;44.00
2025-02-14;Kuwait;44.53
2025-02-14;South Korea;6.00
2025-02-21;Canada;10.71
2025-02-21;India;29.59
2025-02-21;South Korea;39.00
2025-02-28;Canada;12.86
2025-02-28;South Korea;5.85
2025-03-07;Canada;18.59
2025-03-07;South Korea;43.65
2025-03-14;Canada;26.00
2025-03-14;Nigeria;164.93
2025-03-21;Canada;6.43
2025-03-21;Nigeria;37.43
2025-03-21;South Korea;44.34
2025-03-28;Canada;28.17
2025-03-28;Nigeria;18.57
2025-04-04;Canada;15.72
2025-04-04;Nigeria;24.43
2025-04-11;Canada;12.63
2025-04-18;Belgium;1.13
2025-04-18;Canada;12.86
2025-04-18;Nigeria;61.29
2025-04-25;Bahamas;18.98
2025-04-25;Canada;19.28
2025-04-25;Nigeria;20.29
2025-05-02;Canada;10.93
2025-05-02;Nigeria;26.43
2025-05-09;Canada;19.29
2025-05-23;Canada;12.86
2025-05-30;Canada;12.86
2025-05-30;Spain;16.99
2025-06-06;Canada;11.43
2025-06-13;Canada;12.86
2025-06-20;Canada;12.80
2025-06-27;Canada;12.80
2025-07-04;Canada;12.86
2025-07-11;Canada;11.86
2025-07-18;Canada;12.86
2025-07-18;South Korea;49.34
2025-07-25;Canada;3.74
2025-08-01;Canada;15.54
2025-08-08;Canada;6.01
2025-08-08;South Korea;40.61
2025-08-15;Canada;32.04
2025-08-22;Canada;3.33
2025-08-29;Canada;9.52
2025-09-05;Canada;6.05
2025-09-12;Canada;21.35
2025-10-10;South Korea;24.92
2025-10-17;Canada;14.70
2025-10-17;South Korea;19.04
2025-10-24;Canada;17.28
2025-10-24;Nigeria;49.30
2025-10-31;Canada;12.96
2025-10-31;Nigeria;64.80
2025-11-07;Canada;12.96
2025-11-14;Canada;17.43
2025-11-21;Kuwait;44.42
2025-11-28;Canada;28.34
2025-12-05;Canada;6.62
2025-12-12;Canada;12.96
2025-12-19;Canada;25.78
2025-12-26;Canada;33.04
2025-12-26;Nigeria;42.33
2026-01-02;Canada;0.29
2026-01-09;Canada;24.87
2026-01-16;Canada;6.48
2026-01-23;Canada;16.65
2026-01-30;Canada;6.48
2026-02-06;Canada;28.84
2026-02-13;Canada;17.58
2026-02-20;Canada;14.63
2026-02-27;Canada;16.30
2026-02-27;South Korea;40.32
2026-03-06;Canada;22.39
2026-03-13;Canada;29.23
2026-03-20;Canada;11.02
2026-03-27;Canada;45.51
2026-04-03;Canada;44.81
2026-04-10;Canada;6.48
2026-04-17;Canada;28.31
2026-05-01;Canada;38.03
2026-05-08;Canada;6.48
2026-05-15;Canada;6.43
2026-05-22;Canada;19.29
2026-06-05;Canada;38.24
2026-06-12;Canada;12.86
2026-06-19;Canada;12.14
2026-06-26;Canada;12.86
2026-07-03;Canada;19.27
2026-07-10;Canada;12.86
