period;originCountries;quantity
2025-05;Canada;93.28
2025-05;Mexico;6.77
2025-05;Nigeria;10.48
2025-05;South Korea;3.57
2025-06;Canada;82.16
2025-06;Colombia;6.57
2025-06;South Korea;1.87
2025-07;Canada;114.98
2025-07;South Korea;7.64
2025-08;Canada;106.53
2025-08;South Korea;2.49
2025-09;Canada;109.23
2025-09;South Korea;4.96
2025-10;Canada;66.56
2025-10;South Korea;2.39
2025-11;Canada;111.07
2025-11;Mexico;1.66
2025-11;South Korea;1.41
2025-12;Canada;146.67
2025-12;Mexico;49.17
2025-12;Qatar;11.14
2025-12;South Korea;1.27
2025-12;Turkey;11.19
2026-01;Canada;169.16
2026-01;Colombia;9.16
2026-01;Mexico;46.58
2026-01;South Korea;2.84
2026-01;Turkey;22.85
2026-02;Canada;148.49
2026-02;Mexico;60.17
2026-02;Netherlands;29.06
2026-02;Qatar;10.71
2026-02;South Korea;3.05
2026-03;Canada;123.77
2026-03;Mexico;3.18
2026-03;South Korea;5.42
2026-03;Turkey;26.42
2026-04;Canada;107.81
2026-04;Mexico;3.54
2026-04;South Korea;1.40
2026-04;United States Virgin Islands;8.49
2026-05;Canada;118.17
2026-05;Saint Lucia;0.68
2026-06;Brazil;1.61
2026-06;Canada;97.23
2026-06;South Korea;3.83
2026-07;Canada;58.43
2026-07;Chile;5.02
2026-07;Mexico;10.47
2026-07;South Korea;3.59
2026-08;Mozambique;1.22
2026-08;South Korea;10.33
