period;originCountries;quantity
2025-12-05;Canada;101.41
2025-12-12;Canada;188.23
2025-12-12;Mexico;42.54
2025-12-19;Canada;59.48
2025-12-26;Canada;187.86
2025-12-26;Mexico;41.26
2025-12-26;Qatar;49.34
2026-01-02;Canada;219.99
2026-01-02;Mexico;14.62
2026-01-09;Canada;118.01
2026-01-09;Mexico;69.61
2026-01-16;Canada;123.59
2026-01-16;Mexico;39.10
2026-01-23;Canada;178.99
2026-01-23;Mexico;49.90
2026-01-30;Canada;99.84
2026-02-06;Canada;160.59
2026-02-06;Mexico;79.44
2026-02-13;Canada;104.02
2026-02-13;Mexico;34.63
2026-02-13;Netherlands;14.12
2026-02-20;Canada;131.57
2026-02-20;Mexico;49.05
2026-02-20;Netherlands;64.83
2026-02-20;Qatar;42.86
2026-02-27;Canada;63.74
2026-02-27;Mexico;32.43
2026-02-27;Netherlands;37.31
2026-03-06;Canada;183.78
2026-03-06;Mexico;50.84
2026-03-13;Canada;141.43
2026-03-20;Canada;124.10
2026-03-27;Canada;88.50
2026-04-03;Canada;135.67
2026-04-10;Canada;123.79
2026-04-17;Canada;117.81
2026-04-24;Canada;86.04
2026-05-01;Canada;45.00
2026-05-08;Canada;206.91
2026-05-15;Canada;120.07
2026-05-22;Canada;103.74
2026-05-29;Canada;64.39
2026-06-05;Canada;108.28
2026-06-12;Canada;95.05
2026-06-19;Canada;78.57
2026-06-26;Canada;6.81
2026-06-26;Canada;81.14
2026-07-03;Canada;85.93
2026-07-10;Canada;91.15
2026-07-17;Canada;53.30
