Date;Latin America;East Coast Canada;North West Europe Zone;MED Zone (MED Sea+Black Sea);Unknown;Western Africa;West Coast Canada;Other North Africa;Oceania;Eastern Asia;Other Southern Europe;Southern Africa;Period End Date
2022-11-18;27.13;43.31;0;0;0;0;0;0;0;0;0;0;2022-11-18
2022-11-25;115.20;0;46.55;46.05;0;0;0;0;0;0;0;0;2022-11-25
2022-12-02;82.59;0;0;0;0;0;31.04;0;0;0;0;0;2022-12-02
2022-12-09;157.78;24.67;0;0;0;0;0;0;0;0;0;0;2022-12-09
2022-12-16;115.80;0;0;0;0;0;0;0;0;0;0;0;2022-12-16
2022-12-23;128.78;21.36;0;0;0;0;0;0;0;0;0;0;2022-12-23
2022-12-30;166.42;82.33;0;0;0;0;0;0;0;0;0;0;2022-12-30
2023-01-06;120.04;42.99;0;0;0;0;0;0;0;0;0;0;2023-01-06
2023-01-13;169.12;10.62;0;0;0;0;0;0;0;0;0;0;2023-01-13
2023-01-20;115.25;0;0;0;0;0;0;0;0;0;0;0;2023-01-20
2023-01-27;226.79;0;0;0;0;0;0;0;0;0;0;0;2023-01-27
2023-02-03;58.64;46.54;0;45.90;0;0;0;0;0;0;0;0;2023-02-03
2023-02-10;99.90;0;0;0;0;0;0;0;0;0;0;0;2023-02-10
2023-02-17;116.41;0;0;0;0;0;0;0;0;0;0;0;2023-02-17
2023-02-24;169.95;23.82;0;0;0;0;0;0;0;0;0;0;2023-02-24
2023-03-03;62.42;0;0;0;0;0;0;0;0;0;0;0;2023-03-03
2023-03-10;167.30;35.60;0;0;0;0;0;0;0;0;0;0;2023-03-10
2023-03-17;130.97;0;0;0;0;0;0;0;0;0;0;0;2023-03-17
2023-03-24;173.60;0;0;0;0;0;0;0;0;0;0;0;2023-03-24
2023-03-31;91.26;0;0;0;0;0;0;0;0;0;0;0;2023-03-31
2023-04-07;109.86;0;0;0;0;0;0;0;0;0;0;0;2023-04-07
2023-04-14;112.27;0;0;0;0;0;0;0;0;0;0;0;2023-04-14
2023-04-21;149.10;0;0;0;0;0;0;0;0;0;0;0;2023-04-21
2023-04-28;95.79;7.22;0;0;0;0;0;0;0;0;0;0;2023-04-28
2023-05-05;34.74;0;0;0;4.21;0;0;0;0;0;0;0;2023-05-05
2023-05-12;74.23;32.21;0;0;0;0;0;0;0;0;0;0;2023-05-12
2023-05-19;71.35;0;7.00;0;0;0;0;0;0;0;0;0;2023-05-19
2023-05-26;53.75;0;0;46.02;0;0;0;0;0;0;0;0;2023-05-26
2023-06-02;115.76;0;43.31;0;0;0;0;0;0;0;0;0;2023-06-02
2023-06-09;114.51;43.31;0;0;5.97;0;0;0;0;0;0;0;2023-06-09
2023-06-16;149.28;0;0;0;0;0;0;0;0;0;0;0;2023-06-16
2023-06-23;142.49;16.07;0;0;0;0;0;0;0;0;0;0;2023-06-23
2023-06-30;125.90;22.97;0;0;0;0;0;0;0;0;0;0;2023-06-30
2023-07-07;120.37;76.65;0;0;0;0;0;0;0;0;0;0;2023-07-07
2023-07-14;155.84;0;0;0;0;0;0;0;0;0;0;0;2023-07-14
2023-07-21;85.75;0;0;0;0;0;0;0;0;0;0;0;2023-07-21
2023-07-28;108.17;55.87;0;0;0;0;0;0;0;0;0;0;2023-07-28
2023-08-04;53.11;0;0;46.13;0;0;0;0;0;0;0;0;2023-08-04
2023-08-11;166.88;28.67;0;0;0;0;0;0;0;0;0;0;2023-08-11
2023-08-18;99.25;0;0;0;0;0;0;0;0;0;0;0;2023-08-18
2023-08-25;182.85;43.71;0;0;0;0;0;0;0;0;0;0;2023-08-25
2023-09-01;103.36;25.93;0;0;0;0;0;0;0;0;0;0;2023-09-01
2023-09-08;56.86;0;0;0;0;0;0;0;0;0;0;0;2023-09-08
2023-09-15;65.19;0;0;0;0;0;0;0;0;0;0;0;2023-09-15
2023-09-22;82.60;42.86;0;0;0;0;0;0;0;0;0;0;2023-09-22
2023-09-29;107.91;36.43;0;46.77;0;0;0;0;0;0;0;0;2023-09-29
2023-10-06;105.17;34.04;0;0;0;0;0;0;0;0;0;0;2023-10-06
2023-10-13;88.78;31.95;0;0;0;0;0;0;0;0;0;0;2023-10-13
2023-10-20;42.86;12.86;0;0;0;0;0;0;0;0;0;0;2023-10-20
2023-10-27;163.18;48.61;0;0;0;0;0;0;0;10.08;0;0;2023-10-27
2023-11-03;58.92;65.28;0;0;10.79;0;0;0;0;0;0;0;2023-11-03
