fuel2002,fuel2002TypeDescription,fuelType,fuelTypeDescription,period,plantCode,plantName,primeMover,state,stateDescription,total-consumption,total-consumption-units
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55381,Commonwealth Chesapeake,ALL,VA,Virginia,54288,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55381,Commonwealth Chesapeake,GT,VA,Virginia,54288,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55405,Athens Generating Plant,ALL,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55405,Athens Generating Plant,CA,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55405,Athens Generating Plant,CT,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55439,Tenaska Virginia Generating Station,ALL,VA,Virginia,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55439,Tenaska Virginia Generating Station,CA,VA,Virginia,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55439,Tenaska Virginia Generating Station,CT,VA,Virginia,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55524,York Energy Center,ALL,PA,Pennsylvania,75620,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55524,York Energy Center,CA,PA,Pennsylvania,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55524,York Energy Center,CT,PA,Pennsylvania,75620,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55600,Binghamton Cogen,ALL,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55600,Binghamton Cogen,GT,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55619,Watchtower Educational Center,ALL,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55619,Watchtower Educational Center,IC,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55654,Chambersburg,ALL,PA,Pennsylvania,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55654,Chambersburg,GT,PA,Pennsylvania,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55661,Essential Power Newington LLC,ALL,NH,New Hampshire,78045,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55661,Essential Power Newington LLC,CA,NH,New Hampshire,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55661,Essential Power Newington LLC,CT,NH,New Hampshire,78045,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55690,Bethlehem Power Plant,ALL,PA,Pennsylvania,112384,barrels
