fueltype,period,respondent,respondent-name,timezone,timezone-description,type-name,value,value-units
OIL,2019-04-10,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-04-11,MIDA,Mid-Atlantic,Central,Central,Petroleum,1868,megawatthours
OIL,2019-04-11,NE,New England,Central,Central,Petroleum,168,megawatthours
OIL,2019-04-12,MIDA,Mid-Atlantic,Central,Central,Petroleum,1691,megawatthours
OIL,2019-04-12,NE,New England,Central,Central,Petroleum,55,megawatthours
OIL,2019-04-13,MIDA,Mid-Atlantic,Central,Central,Petroleum,1947,megawatthours
OIL,2019-04-13,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-04-14,MIDA,Mid-Atlantic,Central,Central,Petroleum,1931,megawatthours
OIL,2019-04-14,NE,New England,Central,Central,Petroleum,15,megawatthours
OIL,2019-04-15,MIDA,Mid-Atlantic,Central,Central,Petroleum,1922,megawatthours
OIL,2019-04-15,NE,New England,Central,Central,Petroleum,2,megawatthours
OIL,2019-04-16,MIDA,Mid-Atlantic,Central,Central,Petroleum,1967,megawatthours
OIL,2019-04-16,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-04-17,MIDA,Mid-Atlantic,Central,Central,Petroleum,2191,megawatthours
OIL,2019-04-17,NE,New England,Central,Central,Petroleum,49,megawatthours
OIL,2019-04-18,MIDA,Mid-Atlantic,Central,Central,Petroleum,1967,megawatthours
OIL,2019-04-18,NE,New England,Central,Central,Petroleum,19,megawatthours
OIL,2019-04-19,MIDA,Mid-Atlantic,Central,Central,Petroleum,4653,megawatthours
OIL,2019-04-19,NE,New England,Central,Central,Petroleum,56,megawatthours
OIL,2019-04-20,MIDA,Mid-Atlantic,Central,Central,Petroleum,5124,megawatthours
OIL,2019-04-20,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-04-21,MIDA,Mid-Atlantic,Central,Central,Petroleum,5125,megawatthours
OIL,2019-04-21,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-04-22,MIDA,Mid-Atlantic,Central,Central,Petroleum,5209,megawatthours
OIL,2019-04-22,NE,New England,Central,Central,Petroleum,18,megawatthours
OIL,2019-04-23,MIDA,Mid-Atlantic,Central,Central,Petroleum,5178,megawatthours
OIL,2019-04-23,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-04-24,MIDA,Mid-Atlantic,Central,Central,Petroleum,5160,megawatthours
OIL,2019-04-24,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-04-25,MIDA,Mid-Atlantic,Central,Central,Petroleum,5167,megawatthours
OIL,2019-04-25,NE,New England,Central,Central,Petroleum,30,megawatthours
OIL,2019-04-26,MIDA,Mid-Atlantic,Central,Central,Petroleum,5248,megawatthours
OIL,2019-04-26,NE,New England,Central,Central,Petroleum,98,megawatthours
OIL,2019-04-27,MIDA,Mid-Atlantic,Central,Central,Petroleum,5243,megawatthours
OIL,2019-04-27,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-04-28,MIDA,Mid-Atlantic,Central,Central,Petroleum,5261,megawatthours
OIL,2019-04-28,NE,New England,Central,Central,Petroleum,16,megawatthours
OIL,2019-04-29,MIDA,Mid-Atlantic,Central,Central,Petroleum,6001,megawatthours
OIL,2019-04-29,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-04-30,MIDA,Mid-Atlantic,Central,Central,Petroleum,5099,megawatthours
OIL,2019-04-30,NE,New England,Central,Central,Petroleum,20,megawatthours
OIL,2019-05-01,MIDA,Mid-Atlantic,Central,Central,Petroleum,5270,megawatthours
OIL,2019-05-01,NE,New England,Central,Central,Petroleum,87,megawatthours
OIL,2019-05-02,MIDA,Mid-Atlantic,Central,Central,Petroleum,5218,megawatthours
OIL,2019-05-02,NE,New England,Central,Central,Petroleum,21,megawatthours
OIL,2019-05-03,MIDA,Mid-Atlantic,Central,Central,Petroleum,5244,megawatthours
OIL,2019-05-03,NE,New England,Central,Central,Petroleum,83,megawatthours
OIL,2019-05-04,MIDA,Mid-Atlantic,Central,Central,Petroleum,5201,megawatthours
OIL,2019-05-04,NE,New England,Central,Central,Petroleum,46,megawatthours
OIL,2019-05-05,MIDA,Mid-Atlantic,Central,Central,Petroleum,5140,megawatthours
OIL,2019-05-05,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-05-06,MIDA,Mid-Atlantic,Central,Central,Petroleum,5265,megawatthours
OIL,2019-05-06,NE,New England,Central,Central,Petroleum,20,megawatthours
OIL,2019-05-07,MIDA,Mid-Atlantic,Central,Central,Petroleum,5755,megawatthours
OIL,2019-05-07,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-05-08,MIDA,Mid-Atlantic,Central,Central,Petroleum,5520,megawatthours
OIL,2019-05-08,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-05-09,MIDA,Mid-Atlantic,Central,Central,Petroleum,5363,megawatthours
OIL,2019-05-09,NE,New England,Central,Central,Petroleum,14,megawatthours
OIL,2019-05-10,MIDA,Mid-Atlantic,Central,Central,Petroleum,6405,megawatthours
OIL,2019-05-10,NE,New England,Central,Central,Petroleum,4,megawatthours
OIL,2019-05-11,MIDA,Mid-Atlantic,Central,Central,Petroleum,5235,megawatthours
OIL,2019-05-11,NE,New England,Central,Central,Petroleum,176,megawatthours
OIL,2019-05-12,MIDA,Mid-Atlantic,Central,Central,Petroleum,4976,megawatthours
OIL,2019-05-12,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-05-13,MIDA,Mid-Atlantic,Central,Central,Petroleum,5406,megawatthours
OIL,2019-05-13,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-05-14,MIDA,Mid-Atlantic,Central,Central,Petroleum,5392,megawatthours
OIL,2019-05-14,NE,New England,Central,Central,Petroleum,100,megawatthours
OIL,2019-05-15,MIDA,Mid-Atlantic,Central,Central,Petroleum,5397,megawatthours
OIL,2019-05-15,NE,New England,Central,Central,Petroleum,255,megawatthours
OIL,2019-05-16,MIDA,Mid-Atlantic,Central,Central,Petroleum,5333,megawatthours
OIL,2019-05-16,NE,New England,Central,Central,Petroleum,7,megawatthours
OIL,2019-05-17,MIDA,Mid-Atlantic,Central,Central,Petroleum,5216,megawatthours
OIL,2019-05-17,NE,New England,Central,Central,Petroleum,21,megawatthours
OIL,2019-05-18,MIDA,Mid-Atlantic,Central,Central,Petroleum,5087,megawatthours
OIL,2019-05-18,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-05-19,MIDA,Mid-Atlantic,Central,Central,Petroleum,5066,megawatthours
OIL,2019-05-19,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-05-20,MIDA,Mid-Atlantic,Central,Central,Petroleum,5213,megawatthours
OIL,2019-05-20,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-05-21,MIDA,Mid-Atlantic,Central,Central,Petroleum,5159,megawatthours
OIL,2019-05-21,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-05-22,MIDA,Mid-Atlantic,Central,Central,Petroleum,5287,megawatthours
OIL,2019-05-22,NE,New England,Central,Central,Petroleum,25,megawatthours
OIL,2019-05-23,MIDA,Mid-Atlantic,Central,Central,Petroleum,5158,megawatthours
OIL,2019-05-23,NE,New England,Central,Central,Petroleum,1,megawatthours
OIL,2019-05-24,MIDA,Mid-Atlantic,Central,Central,Petroleum,8928,megawatthours
OIL,2019-05-24,NE,New England,Central,Central,Petroleum,14,megawatthours
OIL,2019-05-25,MIDA,Mid-Atlantic,Central,Central,Petroleum,5023,megawatthours
OIL,2019-05-25,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-05-26,MIDA,Mid-Atlantic,Central,Central,Petroleum,5094,megawatthours
OIL,2019-05-26,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-05-27,MIDA,Mid-Atlantic,Central,Central,Petroleum,4968,megawatthours
OIL,2019-05-27,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-05-28,MIDA,Mid-Atlantic,Central,Central,Petroleum,4937,megawatthours
OIL,2019-05-28,NE,New England,Central,Central,Petroleum,15,megawatthours
OIL,2019-05-29,MIDA,Mid-Atlantic,Central,Central,Petroleum,6271,megawatthours
OIL,2019-05-29,NE,New England,Central,Central,Petroleum,10,megawatthours
OIL,2019-05-30,MIDA,Mid-Atlantic,Central,Central,Petroleum,4824,megawatthours
OIL,2019-05-30,NE,New England,Central,Central,Petroleum,64,megawatthours
OIL,2019-05-31,MIDA,Mid-Atlantic,Central,Central,Petroleum,5530,megawatthours
OIL,2019-05-31,NE,New England,Central,Central,Petroleum,12,megawatthours
OIL,2019-06-01,MIDA,Mid-Atlantic,Central,Central,Petroleum,4867,megawatthours
OIL,2019-06-01,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-06-02,MIDA,Mid-Atlantic,Central,Central,Petroleum,4929,megawatthours
OIL,2019-06-02,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-06-03,MIDA,Mid-Atlantic,Central,Central,Petroleum,5134,megawatthours
OIL,2019-06-03,NE,New England,Central,Central,Petroleum,84,megawatthours
OIL,2019-06-04,MIDA,Mid-Atlantic,Central,Central,Petroleum,5357,megawatthours
OIL,2019-06-04,NE,New England,Central,Central,Petroleum,11,megawatthours
OIL,2019-06-05,MIDA,Mid-Atlantic,Central,Central,Petroleum,5152,megawatthours
OIL,2019-06-05,NE,New England,Central,Central,Petroleum,24,megawatthours
OIL,2019-06-06,MIDA,Mid-Atlantic,Central,Central,Petroleum,2016,megawatthours
OIL,2019-06-06,NE,New England,Central,Central,Petroleum,261,megawatthours
OIL,2019-06-07,MIDA,Mid-Atlantic,Central,Central,Petroleum,3012,megawatthours
OIL,2019-06-07,NE,New England,Central,Central,Petroleum,10,megawatthours
OIL,2019-06-08,MIDA,Mid-Atlantic,Central,Central,Petroleum,4987,megawatthours
OIL,2019-06-08,NE,New England,Central,Central,Petroleum,34,megawatthours
OIL,2019-06-09,MIDA,Mid-Atlantic,Central,Central,Petroleum,5151,megawatthours
OIL,2019-06-09,NE,New England,Central,Central,Petroleum,5,megawatthours
OIL,2019-06-10,MIDA,Mid-Atlantic,Central,Central,Petroleum,5182,megawatthours
OIL,2019-06-10,NE,New England,Central,Central,Petroleum,1,megawatthours
OIL,2019-06-11,MIDA,Mid-Atlantic,Central,Central,Petroleum,5427,megawatthours
OIL,2019-06-11,NE,New England,Central,Central,Petroleum,221,megawatthours
OIL,2019-06-12,MIDA,Mid-Atlantic,Central,Central,Petroleum,5234,megawatthours
OIL,2019-06-12,NE,New England,Central,Central,Petroleum,142,megawatthours
OIL,2019-06-13,MIDA,Mid-Atlantic,Central,Central,Petroleum,5406,megawatthours
OIL,2019-06-13,NE,New England,Central,Central,Petroleum,217,megawatthours
