fueltype,period,respondent,respondent-name,type-name,value,value-units
OIL,2026-07-01T02,MIDA,Mid-Atlantic,Petroleum,4998,megawatthours
OIL,2026-07-01T02,NE,New England,Petroleum,39,megawatthours
OIL,2026-07-01T01,MIDA,Mid-Atlantic,Petroleum,4520,megawatthours
OIL,2026-07-01T01,NE,New England,Petroleum,203,megawatthours
OIL,2026-07-01T00,MIDA,Mid-Atlantic,Petroleum,3697,megawatthours
OIL,2026-07-01T00,NE,New England,Petroleum,231,megawatthours
OIL,2026-06-30T23,MIDA,Mid-Atlantic,Petroleum,3387,megawatthours
OIL,2026-06-30T23,NE,New England,Petroleum,231,megawatthours
OIL,2026-06-30T22,MIDA,Mid-Atlantic,Petroleum,3002,megawatthours
OIL,2026-06-30T22,NE,New England,Petroleum,234,megawatthours
OIL,2026-06-30T21,MIDA,Mid-Atlantic,Petroleum,3252,megawatthours
OIL,2026-06-30T21,NE,New England,Petroleum,215,megawatthours
OIL,2026-06-30T20,MIDA,Mid-Atlantic,Petroleum,3401,megawatthours
OIL,2026-06-30T20,NE,New England,Petroleum,98,megawatthours
OIL,2026-06-30T19,MIDA,Mid-Atlantic,Petroleum,3337,megawatthours
OIL,2026-06-30T19,NE,New England,Petroleum,31,megawatthours
OIL,2026-06-30T18,MIDA,Mid-Atlantic,Petroleum,3184,megawatthours
OIL,2026-06-30T18,NE,New England,Petroleum,13,megawatthours
OIL,2026-06-30T17,MIDA,Mid-Atlantic,Petroleum,3059,megawatthours
OIL,2026-06-30T17,NE,New England,Petroleum,20,megawatthours
OIL,2026-06-30T16,MIDA,Mid-Atlantic,Petroleum,3060,megawatthours
OIL,2026-06-30T16,NE,New England,Petroleum,19,megawatthours
OIL,2026-06-30T15,MIDA,Mid-Atlantic,Petroleum,2225,megawatthours
OIL,2026-06-30T15,NE,New England,Petroleum,18,megawatthours
OIL,2026-06-30T14,MIDA,Mid-Atlantic,Petroleum,1277,megawatthours
OIL,2026-06-30T14,NE,New England,Petroleum,18,megawatthours
OIL,2026-06-30T13,MIDA,Mid-Atlantic,Petroleum,863,megawatthours
OIL,2026-06-30T13,NE,New England,Petroleum,7,megawatthours
