period,respondent,respondent-name,type,type-name,value,value-units
2026-09-20T13,NE,New England,DF,Day-ahead demand forecast,10340,megawatthours
2026-09-20T13,NE,New England,NG,Net generation,11932,megawatthours
2026-09-20T13,NE,New England,TI,Total interchange,844,megawatthours
2026-09-20T12,MIDA,Mid-Atlantic,D,Demand,84502,megawatthours
2026-09-20T12,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,82116,megawatthours
2026-09-20T12,MIDA,Mid-Atlantic,NG,Net generation,86724,megawatthours
2026-09-20T12,MIDA,Mid-Atlantic,TI,Total interchange,1152,megawatthours
2026-09-20T12,NE,New England,D,Demand,10783,megawatthours
2026-09-20T12,NE,New England,DF,Day-ahead demand forecast,9920,megawatthours
2026-09-20T12,NE,New England,NG,Net generation,11433,megawatthours
2026-09-20T12,NE,New England,TI,Total interchange,650,megawatthours
2026-09-20T11,MIDA,Mid-Atlantic,D,Demand,83092,megawatthours
2026-09-20T11,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,79194,megawatthours
2026-09-20T11,MIDA,Mid-Atlantic,NG,Net generation,85475,megawatthours
2026-09-20T11,MIDA,Mid-Atlantic,TI,Total interchange,1096,megawatthours
2026-09-20T11,NE,New England,D,Demand,10378,megawatthours
2026-09-20T11,NE,New England,DF,Day-ahead demand forecast,9610,megawatthours
2026-09-20T11,NE,New England,NG,Net generation,11384,megawatthours
2026-09-20T11,NE,New England,TI,Total interchange,1006,megawatthours
2026-09-20T10,MIDA,Mid-Atlantic,D,Demand,82151,megawatthours
2026-09-20T10,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,77757,megawatthours
2026-09-20T10,MIDA,Mid-Atlantic,NG,Net generation,85117,megawatthours
2026-09-20T10,MIDA,Mid-Atlantic,TI,Total interchange,1167,megawatthours
2026-09-20T10,NE,New England,D,Demand,10023,megawatthours
2026-09-20T10,NE,New England,DF,Day-ahead demand forecast,9280,megawatthours
2026-09-20T10,NE,New England,NG,Net generation,11000,megawatthours
2026-09-20T10,NE,New England,TI,Total interchange,977,megawatthours
2026-09-20T09,MIDA,Mid-Atlantic,D,Demand,82113,megawatthours
2026-09-20T09,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,76674,megawatthours
2026-09-20T09,MIDA,Mid-Atlantic,NG,Net generation,84797,megawatthours
2026-09-20T09,MIDA,Mid-Atlantic,TI,Total interchange,1111,megawatthours
2026-09-20T09,NE,New England,D,Demand,9887,megawatthours
2026-09-20T09,NE,New England,DF,Day-ahead demand forecast,9120,megawatthours
2026-09-20T09,NE,New England,NG,Net generation,10691,megawatthours
2026-09-20T09,NE,New England,TI,Total interchange,804,megawatthours
2026-09-20T08,MIDA,Mid-Atlantic,D,Demand,83082,megawatthours
2026-09-20T08,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,76406,megawatthours
2026-09-20T08,MIDA,Mid-Atlantic,NG,Net generation,85593,megawatthours
2026-09-20T08,MIDA,Mid-Atlantic,TI,Total interchange,1088,megawatthours
2026-09-20T08,NE,New England,D,Demand,9883,megawatthours
2026-09-20T08,NE,New England,DF,Day-ahead demand forecast,9140,megawatthours
2026-09-20T08,NE,New England,NG,Net generation,10686,megawatthours
2026-09-20T08,NE,New England,TI,Total interchange,803,megawatthours
2026-09-20T07,MIDA,Mid-Atlantic,D,Demand,84600,megawatthours
2026-09-20T07,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,77097,megawatthours
2026-09-20T07,MIDA,Mid-Atlantic,NG,Net generation,87365,megawatthours
2026-09-20T07,MIDA,Mid-Atlantic,TI,Total interchange,-1863,megawatthours
2026-09-20T07,NE,New England,D,Demand,10028,megawatthours
2026-09-20T07,NE,New England,DF,Day-ahead demand forecast,9300,megawatthours
2026-09-20T07,NE,New England,NG,Net generation,10747,megawatthours
2026-09-20T07,NE,New England,TI,Total interchange,719,megawatthours
2026-09-20T06,MIDA,Mid-Atlantic,D,Demand,85757,megawatthours
2026-09-20T06,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,78813,megawatthours
2026-09-20T06,MIDA,Mid-Atlantic,NG,Net generation,88750,megawatthours
2026-09-20T06,MIDA,Mid-Atlantic,TI,Total interchange,-1513,megawatthours
2026-09-20T06,NE,New England,D,Demand,10250,megawatthours
2026-09-20T06,NE,New England,DF,Day-ahead demand forecast,9570,megawatthours
2026-09-20T06,NE,New England,NG,Net generation,10870,megawatthours
2026-09-20T06,NE,New England,TI,Total interchange,620,megawatthours
2026-09-20T05,MIDA,Mid-Atlantic,D,Demand,88179,megawatthours
2026-09-20T05,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,81257,megawatthours
2026-09-20T05,MIDA,Mid-Atlantic,NG,Net generation,91058,megawatthours
2026-09-20T05,MIDA,Mid-Atlantic,TI,Total interchange,-1452,megawatthours
2026-09-20T05,NE,New England,D,Demand,10341,megawatthours
2026-09-20T05,NE,New England,DF,Day-ahead demand forecast,10020,megawatthours
2026-09-20T05,NE,New England,NG,Net generation,11112,megawatthours
2026-09-20T05,NE,New England,TI,Total interchange,771,megawatthours
2026-09-20T04,MIDA,Mid-Atlantic,D,Demand,91378,megawatthours
2026-09-20T04,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,85138,megawatthours
2026-09-20T04,MIDA,Mid-Atlantic,NG,Net generation,95455,megawatthours
2026-09-20T04,MIDA,Mid-Atlantic,TI,Total interchange,730,megawatthours
2026-09-20T04,NE,New England,D,Demand,10543,megawatthours
2026-09-20T04,NE,New England,DF,Day-ahead demand forecast,10550,megawatthours
2026-09-20T04,NE,New England,NG,Net generation,11628,megawatthours
2026-09-20T04,NE,New England,TI,Total interchange,1085,megawatthours
2026-09-20T03,MIDA,Mid-Atlantic,D,Demand,95032,megawatthours
2026-09-20T03,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,88288,megawatthours
2026-09-20T03,MIDA,Mid-Atlantic,NG,Net generation,100384,megawatthours
2026-09-20T03,MIDA,Mid-Atlantic,TI,Total interchange,548,megawatthours
2026-09-20T03,NE,New England,D,Demand,11267,megawatthours
2026-09-20T03,NE,New England,DF,Day-ahead demand forecast,11360,megawatthours
2026-09-20T03,NE,New England,NG,Net generation,11522,megawatthours
2026-09-20T03,NE,New England,TI,Total interchange,255,megawatthours
2026-09-20T02,MIDA,Mid-Atlantic,D,Demand,98731,megawatthours
2026-09-20T02,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,93500,megawatthours
2026-09-20T02,MIDA,Mid-Atlantic,NG,Net generation,105003,megawatthours
2026-09-20T02,MIDA,Mid-Atlantic,TI,Total interchange,511,megawatthours
2026-09-20T02,NE,New England,D,Demand,11977,megawatthours
2026-09-20T02,NE,New England,DF,Day-ahead demand forecast,12210,megawatthours
2026-09-20T02,NE,New England,NG,Net generation,12043,megawatthours
2026-09-20T02,NE,New England,TI,Total interchange,66,megawatthours
2026-09-20T01,MIDA,Mid-Atlantic,D,Demand,101945,megawatthours
2026-09-20T01,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,98252,megawatthours
