month,commodity,padd1_imports_total_kbd,padd1_imports_canada_kbd,padd1_imports_non_canada_kbd,padd1_exports_total_kbd,padd1ab_imports_total_kbd,padd1ab_imports_canada_kbd,padd1ab_imports_non_canada_kbd,padd1ab_exports_total_kbd,padd1ab_exports_europe_kbd,padd1ab_exports_other_kbd,padd1c_imports_total_kbd,padd1c_imports_canada_kbd,padd1c_imports_non_canada_kbd,padd1c_imports_intra_us_kbd,padd1c_exports_total_kbd,padd3_to_padd1_kbd,padd3_to_padd1ab_kbd,padd3_to_padd1c_kbd,padd3_to_padd5_kbd,padd3_exports_total_kbd,padd3_exports_africa_kbd,padd3_exports_europe_kbd,padd3_exports_latin_america_kbd,padd3_exports_other_kbd,padd5_imports_total_kbd,padd5_exports_total_kbd,us_imports_total_kbd,us_imports_canada_kbd,us_imports_non_canada_kbd,us_exports_total_kbd,us_exports_europe_kbd,us_exports_latin_america_kbd
2021-12,diesel,0.0,0.0,0.0,0.0,192.35000000000002,107.42,84.93000000000002,19.48,0.0,19.48,147.70999999999998,25.74,121.96999999999998,85.35,6.44,73.56,,73.56,0.0,846.23,,0.0,796.79,49.440000000000055,1.38,50.38,258.04999999999995,133.16,124.88999999999996,922.5300000000001,0.0,866.38
2022-01,diesel,0.0,0.0,0.0,0.0,163.85999999999999,104.99,58.86999999999999,8.61,0.0,8.61,105.76,8.61,97.15,96.92,6.67,105.08,4.67,100.41,0.0,716.98,,0.0,676.21,40.76999999999998,15.25,39.16,190.76,118.38,72.38,771.41,0.0,722.04
2022-02,diesel,0.0,0.0,0.0,0.0,308.90999999999997,116.51,192.39999999999998,9.99,0.0,9.99,152.59,,152.59,136.96,4.27,149.39,2.82,146.57,0.0,618.92,,0.0,618.92,0.0,1.57,28.32,326.09999999999997,116.51,209.58999999999997,661.5,0.0,652.28
2022-03,diesel,0.0,0.0,0.0,0.0,146.70999999999998,88.61,58.09999999999998,38.17,0.0,38.17,162.4,4.19,158.21,158.21,,142.15,,142.15,0.0,970.9000000000001,,0.0,886.44,84.46000000000004,18.11,51.57,169.01,99.32,69.69,1060.6399999999999,0.0,940.36
2022-04,diesel,0.0,0.0,0.0,0.0,76.75,76.75,0.0,18.009999999999998,0.0,18.009999999999998,181.3,14.75,166.55,166.55,,178.03,,178.03,0.0,1061.1399999999999,,0.0,993.44,67.69999999999982,2.04,41.8,98.16000000000001,91.51,6.650000000000006,1120.96,0.0,1044.98
2022-05,diesel,0.0,0.0,0.0,0.0,133.57,81.07,52.5,8.46,0.0,8.46,156.15999999999997,,156.15999999999997,141.45,,148.07,,148.07,0.0,890.95,,0.0,834.87,56.08000000000004,15.59,56.23,163.86999999999998,82.56,81.30999999999997,955.6500000000001,0.0,889.22
2022-06,diesel,0.0,0.0,0.0,0.0,62.72,43.51,19.21,10.23,0.0,10.23,132.82,8.0,124.82,124.82,,126.58,,126.58,0.0,983.65,,0.0,911.75,71.89999999999998,2.98,33.38,74.69,51.51,23.18,1027.26,0.0,945.13
2022-07,diesel,0.0,0.0,0.0,0.0,110.55,110.55,0.0,35.67,0.0,35.67,159.9,2.24,157.66,148.43,,153.06,5.53,147.53,0.0,1227.73,,0.0,1120.92,106.80999999999995,17.86,45.48,160.79999999999998,138.03,22.769999999999982,1308.88,0.0,1165.29
2022-08,diesel,0.0,0.0,0.0,0.0,96.57,96.57,0.0,11.14,0.0,11.14,187.39,18.7,168.69,158.68,0.47,137.86,,137.86,0.0,1084.79,,0.0,1009.68,75.11000000000001,23.79,36.92,152.42000000000002,117.92,34.500000000000014,1133.3100000000002,0.0,1052.3
2022-09,diesel,0.0,0.0,0.0,0.0,76.77,76.77,0.0,19.35,0.0,19.35,115.17999999999999,7.8,107.38,107.38,,145.28,11.43,133.85,0.0,960.3000000000002,,0.0,809.13,151.1700000000002,8.77,51.07,104.84,93.33,11.510000000000005,1030.7200000000003,0.0,860.2
2022-10,diesel,0.0,0.0,0.0,0.0,113.63,69.8,43.83,,0.0,0.0,123.11,,123.11,123.11,,116.33,1.34,114.99,0.0,889.0,,0.0,785.5,103.5,13.87,23.8,129.56,70.18,59.379999999999995,912.8,0.0,802.2
2022-11,diesel,0.0,0.0,0.0,0.0,126.07,81.31,44.75999999999999,8.56,0.0,8.56,85.54,,85.54,83.61,,88.85,7.52,81.33,0.0,915.97,,0.0,788.95,127.01999999999998,10.44,105.61,141.27,83.37,57.900000000000006,1030.14,0.0,897.71
2022-12,diesel,0.0,0.0,0.0,0.0,161.34,124.5,36.84,,0.0,0.0,101.63,,101.63,90.21,1.8,68.62,,68.62,0.0,950.37,,0.0,746.75,203.62,1.23,143.45,195.98999999999998,127.52,68.46999999999998,1095.63,0.0,877.54
